Year,Month,Monthly Precipitation Total (millimetres)
1890,4,7.1
1890,5,52
1890,6,263.4
1890,7,249.4
1890,8,249.2
1890,9,76
1890,10,125.4
1890,11,151.3
1890,12,15.2
1891,1,37.1
1891,2,3.1
1891,3,12.7
1891,4,41.3
1891,5,20.4
1891,6,88.2
1891,7,206.1
1891,8,96.3
1891,9,64.8
1891,10,164.9
1891,11,30.5
1891,12,65.6
1892,1,36.2
1892,2,6.1
1892,3,29.6
1892,4,77.8
1892,5,81.9
1892,6,170.9
1892,7,100.9
1892,8,226.5
1892,9,121.7
1892,10,87.4
1892,11,48.8
1892,12,113.5
1893,1,12.7
1893,2,3.8
1893,3,21.3
1893,4,106.7
1893,5,249.2
1893,6,224.9
1893,7,112.4
1893,8,229.2
1893,9,204.6
1893,10,55.7
1893,11,81.1
1893,12,28.5
1894,1,34.8
1894,2,2.5
1894,3,98.1
1894,4,87.7
1894,5,112.6
1894,6,158.5
1894,7,194.5
1894,8,189.3
1894,9,84.9
1894,10,160.6
1894,11,0
1894,12,63.8
1895,1,23.2
1895,2,4.1
1895,3,39.4
1895,4,173.3
1895,5,38.1
1895,6,224.6
1895,7,183.3
1895,8,205
1895,9,169.3
1895,10,68.6
1895,11,2.4
1895,12,42.1
1896,1,58.2
1896,2,2.5
1896,3,49
1896,4,198.9
1896,5,129.1
1896,6,151.9
1896,7,55.9
1896,8,86.2
1896,9,63.7
1896,10,19.2
1896,11,19.5
1896,12,47.3
1897,1,17.8
1897,2,77.4
1897,3,28.6
1897,4,42.7
1897,5,115.6
1897,6,154.4
1897,7,141.5
1897,8,168.5
1897,9,137.3
1897,10,42.2
1897,11,28.5
1897,12,0.8
1898,1,2.5
1898,2,49.8
1898,3,27.9
1898,4,201.6
1898,5,201.6
1898,6,228.6
1898,7,159.6
1898,8,119.7
1898,9,48.7
1898,10,41.9
1898,11,61.3
1898,12,25.6
1899,1,88.3
1899,2,50.5
1899,3,114
1899,4,35
1899,5,101.6
1899,6,225.9
1899,7,14.5
1899,8,91.9
1899,9,63.6
1899,10,53.2
1899,11,60
1899,12,16
1900,1,41.5
1900,2,0
1900,3,143.6
1900,4,156.8
1900,5,95.7
1900,6,208.3
1900,7,67.2
1900,8,292.5
1900,9,75.1
1900,10,41.6
1900,11,26.2
1900,12,21
1901,1,58.9
1901,2,2.9
1901,3,27.2
1901,4,81.9
1901,5,56.7
1901,6,264.8
1901,7,122.4
1901,8,86.6
1901,9,134.6
1901,10,126.3
1901,11,30
1901,12,36.2
1902,1,23.7
1902,2,15.5
1902,3,85.6
1902,4,8.4
1902,5,58.3
1902,6,248.7
1902,7,102.6
1902,8,65.4
1902,9,119.6
1902,10,89.8
1902,11,27.5
1902,12,103.7
1903,1,31.5
1903,2,50.8
1903,3,100.8
1903,4,132.6
1903,5,92.1
1903,6,175
1903,7,237.3
1903,8,109.1
1903,9,184.4
1903,10,21.7
1903,11,87.9
1903,12,58
1904,1,139.4
1904,2,42
1904,3,19.6
1904,4,73.4
1904,5,135.5
1904,6,242.5
1904,7,213.4
1904,8,145.2
1904,9,58.8
1904,10,100.5
1904,11,33.9
1904,12,0
1905,1,42.3
1905,2,19.4
1905,3,9.4
1905,4,158.4
1905,5,135.4
1905,6,283.6
1905,7,228.1
1905,8,136.1
1905,9,104.8
1905,10,173.8
1905,11,11.8
1905,12,4.9
1906,1,0.5
1906,2,2.8
1906,3,86.8
1906,4,73.2
1906,5,106.3
1906,6,246.6
1906,7,189.5
1906,8,186.7
1906,9,164.6
1906,10,116.4
1906,11,96.6
1906,12,67
1907,1,7.6
1907,2,11.4
1907,3,36.5
1907,4,129.7
1907,5,74.5
1907,6,131.9
1907,7,187.3
1907,8,138
1907,9,70.2
1907,10,83.6
1907,11,102.4
1907,12,17.5
1908,1,8.1
1908,2,12.4
1908,3,77
1908,4,37.4
1908,5,204.6
1908,6,321.3
1908,7,85.9
1908,8,137.2
1908,9,186
1908,10,104.6
1908,11,16.6
1908,12,20.3
1909,1,36.8
1909,2,40.7
1909,3,40.1
1909,4,215
1909,5,239.9
1909,6,240
1909,7,253.2
1909,8,282.8
1909,9,91.9
1909,10,155.5
1909,11,118.7
1909,12,44.6
1910,1,4.1
1910,2,1.8
1910,3,157.9
1910,4,13.8
1910,5,196.3
1910,6,154.1
1910,7,215.6
1910,8,129.5
1910,9,99.1
1910,10,109.4
1910,11,51.6
1910,12,91.2
1911,1,17
1911,2,71.3
1911,3,26.9
1911,4,30.7
1911,5,124.8
1911,6,189.8
1911,7,143.5
1911,8,61.5
1911,9,121.3
1911,10,30.1
1911,11,12.2
1911,12,45.1
1912,1,4.9
1912,2,23.2
1912,3,46.8
1912,4,37.4
1912,5,33.1
1912,6,137.4
1912,7,130
1912,8,95
1912,9,166.6
1912,10,59.1
1912,11,118.8
1912,12,71.7
1913,1,8.9
1913,2,57.7
1913,3,57.3
1913,4,47.5
1913,5,39.4
1913,6,34
1913,7,80.7
1913,8,167.9
1913,9,125.5
1913,10,83.1
1913,11,62.9
1913,12,49
1914,1,44.6
1914,2,16.1
1914,3,19.5
1914,4,106.7
1914,5,102.3
1914,6,29.7
1914,7,103.3
1914,8,17.3
1914,9,33.5
1914,10,7.4
1914,11,54.8
1914,12,26.1
1915,1,42.4
1915,2,1.8
1915,3,30.9
1915,4,122.1
1915,5,216.8
1915,6,298.5
1915,7,182.4
1915,8,179
1915,9,232
1915,10,49.3
1915,11,27.1
1915,12,2.5
1916,1,27.8
1916,2,12.5
1916,3,11.9
1916,4,102.4
1916,5,52.4
1916,6,438.2
1916,7,159.1
1916,8,250.1
1916,9,74.9
1916,10,113.2
1916,11,133
1916,12,38.5
1917,1,23.9
1917,2,68.8
1917,3,117.5
1917,4,64.7
1917,5,408.4
1917,6,194.2
1917,7,256.4
1917,8,224.2
1917,9,179.3
1917,10,100
1917,11,47.5
1917,12,56.9
1918,1,22.9
1918,2,21.6
1918,3,20.7
1918,4,73.3
1918,5,120.7
1918,6,185
1918,7,128.1
1918,8,143.8
1918,9,46.8
1918,10,142.1
1918,11,15.7
1918,12,21.4
1919,1,8.6
1919,2,95.6
1919,3,10.3
1919,4,9.9
1919,5,117.3
1919,6,113.1
1919,7,81.9
1919,8,127.2
1919,9,156.5
1919,10,69.1
1919,11,7.3
1919,12,51.3
1920,1,8.5
1920,2,0.8
1920,3,44.4
1920,4,24.3
1920,5,95.7
1920,6,305
1920,7,123.4
1920,8,147.5
1920,9,84.9
1920,10,80.7
1920,11,96.3
1920,12,76.3
1921,1,54.6
1921,2,10.4
1921,3,69.1
1921,4,34.4
1921,5,181.7
1921,6,72.1
1921,7,97.9
1921,8,107.6
1921,9,129.7
1921,10,92.9
1921,11,104.3
1921,12,51.2
1922,1,160.5
1922,2,3.3
1922,3,9.4
1922,4,103.1
1922,5,205.6
1922,6,155.1
1922,7,202.6
1922,8,205
1922,9,87.4
1922,10,111.2
1922,11,15.3
1922,12,110.6
1923,1,27.5
1923,2,5
1923,3,0.3
1923,4,3.6
1923,5,305
1923,6,341.2
1923,7,273.1
1923,8,151.9
1923,9,255.6
1923,10,105.8
1923,11,48.3
1923,12,78.1
1924,1,60.8
1924,2,86.6
1924,3,54.5
1924,4,59.3
1924,5,147.7
1924,6,198.8
1924,7,41.9
1924,8,122.4
1924,9,190.7
1924,10,110.9
1924,11,62.8
1924,12,11.1
1925,1,23.1
1925,2,64.2
1925,3,14.2
1925,4,41.1
1925,5,176.3
1925,6,110.1
1925,7,150
1925,8,107.4
1925,9,166.5
1925,10,55.4
1925,11,32.5
1925,12,1.8
1926,1,0
1926,2,43.2
1926,3,3.3
1926,4,109.7
1926,5,322
1926,6,81
1926,7,85.5
1926,8,222.1
1926,9,109.2
1926,10,127.7
1926,11,37.5
1926,12,53.8
1927,1,14
1927,2,54.2
1927,3,30.1
1927,4,28.4
1927,5,138.9
1927,6,64.4
1927,7,183.7
1927,8,227.4
1927,9,54.1
1927,10,35.8
1927,11,72.4
1927,12,105.9
1928,1,41.3
1928,2,73
1928,3,40.4
1928,4,63.1
1928,5,152.1
1928,6,185.8
1928,7,148.4
1928,8,34.3
1928,9,91.9
1928,10,146.4
1928,11,22.1
1928,12,5.8
1929,1,38.6
1929,2,3.6
1929,3,11.4
1929,4,43.4
1929,5,57.3
1929,6,180.1
1929,7,125.9
1929,8,99.8
1929,9,84.9
1929,10,39.4
1929,11,58.3
1929,12,118.4
1930,1,1.6
1930,2,19.1
1930,3,1.6
1930,4,40.7
1930,5,41.2
1930,6,57.6
1930,7,220.4
1930,8,153.3
1930,9,139.7
1930,10,101.4
1930,11,21.9
1930,12,31.5
1931,1,24.4
1931,2,11.8
1931,3,57.2
1931,4,49.4
1931,5,148.8
1931,6,264.3
1931,7,172.8
1931,8,118.3
1931,9,273.3
1931,10,33.8
1931,11,28.9
1931,12,17.8
1932,1,5.8
1932,2,62.4
1932,3,60.8
1932,4,187
1932,5,71.6
1932,6,375.4
1932,7,238.8
1932,8,182.5
1932,9,74.6
1932,10,94.4
1932,11,46
1932,12,16.5
1933,1,61
1933,2,11.5
1933,3,38.8
1933,4,73.5
1933,5,321.2
1933,6,88
1933,7,110.6
1933,8,157.8
1933,9,204.6
1933,10,34.4
1933,11,7
1933,12,14.2
1934,1,41.9
1934,2,3.5
1934,3,29.5
1934,4,94.7
1934,5,0
1934,6,37.6
1934,7,71.9
1934,8,168.3
1934,9,165.5
1934,10,96
1934,11,85.2
1934,12,58.4
1935,1,50.8
1935,2,1.3
1935,3,104.2
1935,4,73.2
1935,5,109.7
1935,6,153.8
1935,7,156.3
1935,8,108.6
1935,9,127.3
1935,10,63.6
1935,11,29.3
1935,12,12.1
1936,1,25.1
1936,2,22.7
1936,3,0
1936,4,55.2
1936,5,72.9
1936,6,136.1
1936,7,168
1936,8,95.6
1936,9,48.8
1936,10,130.5
1936,11,36.3
1936,12,97.3
1937,1,103.7
1937,2,38.6
1937,3,42.1
1937,4,93.7
1937,5,146
1937,6,72.4
1937,7,93.3
1937,8,184.5
